,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age,Length_customer_yrs,Dependents,Total_Spent,total_purchases,Total_Accepted_Camp
0,Graduation,Divorced,84835.0,0,0,0,15.88,8.74,31.85,9.33,15.88,18.32,1,4,4,6,1,0,0,0,0,0,1,0,SP,52,8.03,0,1190,14,0
1,Graduation,Single,57091.0,0,0,0,80.42,0.87,11.09,1.21,0.0,6.41,1,7,3,7,5,0,0,0,0,1,1,0,CA,61,8.03,0,577,17,1
2,Graduation,Married,67267.0,0,1,0,53.39,4.38,23.51,5.98,0.8,11.95,1,3,2,5,2,0,0,0,0,0,0,0,US,64,8.12,1,251,10,0
3,Graduation,Together,32474.0,1,1,0,90.91,0.0,9.09,0.0,0.0,0.0,1,1,0,2,7,0,0,0,0,0,0,0,AUS,55,8.13,2,11,3,0
4,Graduation,Single,21474.0,1,0,0,6.59,17.58,26.37,12.09,0.0,37.36,2,3,1,2,7,1,0,0,0,0,1,0,SP,33,8.22,1,91,6,1
5,PhD,Single,71691.0,0,0,0,28.19,10.91,34.48,20.13,2.68,3.61,1,4,7,5,2,0,0,0,0,0,1,0,SP,64,8.28,0,1192,16,0
6,2n Cycle,Married,63564.0,0,0,0,63.29,6.58,20.74,1.23,2.8,5.35,1,10,10,7,6,1,0,0,0,0,1,0,GER,68,8.41,0,1215,27,1
7,Graduation,Together,44931.0,0,1,0,81.25,0.0,11.46,0.0,0.0,7.29,1,2,1,3,5,0,0,0,0,0,0,0,SP,55,8.44,1,96,6,0
8,PhD,Married,65324.0,0,1,0,70.59,0.0,18.75,3.86,5.88,0.92,3,6,2,9,4,0,0,0,0,0,0,0,US,68,8.46,1,544,17,0
9,PhD,Married,65324.0,0,1,0,70.59,0.0,18.75,3.86,5.88,0.92,3,6,2,9,4,0,0,0,0,0,0,0,IND,68,8.46,1,544,17,0
10,2n Cycle,Married,81044.0,0,0,0,37.25,2.15,44.29,6.04,8.11,2.15,1,5,6,10,1,0,0,0,0,0,0,0,US,75,8.5,0,1208,21,0
11,Master,Together,62499.0,1,0,0,63.06,1.8,27.48,0.0,5.86,1.8,2,3,1,6,4,0,0,0,0,0,0,0,SP,43,8.55,1,222,10,0
12,PhD,Widow,67786.0,0,0,0,37.28,7.09,38.15,6.92,1.73,8.82,1,3,6,6,1,0,0,0,0,0,1,0,IND,63,8.55,0,1156,15,0
